Shuffle History for /training_data
oldfilename > newfilename
Diastolic_murmur_abnormal_46778_MV.wav > 64Diastolic_murmur_abnormal_46778_MV.wav
Diastolic_murmur_abnormal_49824_AV.wav > 13Diastolic_murmur_abnormal_49824_AV.wav
Diastolic_murmur_abnormal_49824_MV.wav > 20Diastolic_murmur_abnormal_49824_MV.wav
Diastolic_murmur_abnormal_49824_PV.wav > 26Diastolic_murmur_abnormal_49824_PV.wav
Diastolic_murmur_abnormal_50238_AV.wav > 55Diastolic_murmur_abnormal_50238_AV.wav
Diastolic_murmur_abnormal_50238_MV.wav > 58Diastolic_murmur_abnormal_50238_MV.wav
Diastolic_murmur_abnormal_50238_PV.wav > 30Diastolic_murmur_abnormal_50238_PV.wav
Diastolic_murmur_abnormal_50238_TV.wav > 16Diastolic_murmur_abnormal_50238_TV.wav
Diastolic_murmur_abnormal_50277_AV.wav > 61Diastolic_murmur_abnormal_50277_AV.wav
Diastolic_murmur_abnormal_50277_MV.wav > 72Diastolic_murmur_abnormal_50277_MV.wav
Diastolic_murmur_abnormal_50277_PV.wav > 53Diastolic_murmur_abnormal_50277_PV.wav
Diastolic_murmur_abnormal_50277_TV.wav > 9Diastolic_murmur_abnormal_50277_TV.wav
Diastolic_murmur_abnormal_85119_AV.wav > 59Diastolic_murmur_abnormal_85119_AV.wav
Diastolic_murmur_abnormal_85119_MV.wav > 54Diastolic_murmur_abnormal_85119_MV.wav
Diastolic_murmur_abnormal_85119_PV.wav > 27Diastolic_murmur_abnormal_85119_PV.wav
Diastolic_murmur_abnormal_85119_TV.wav > 60Diastolic_murmur_abnormal_85119_TV.wav
No_murmur_14998_AV.wav > 62No_murmur_14998_AV.wav
No_murmur_14998_MV.wav > 41No_murmur_14998_MV.wav
No_murmur_14998_PV.wav > 43No_murmur_14998_PV.wav
No_murmur_14998_TV.wav > 63No_murmur_14998_TV.wav
No_murmur_23625_AV.wav > 32No_murmur_23625_AV.wav
No_murmur_23625_MV.wav > 68No_murmur_23625_MV.wav
No_murmur_23625_PV.wav > 2No_murmur_23625_PV.wav
No_murmur_23625_TV.wav > 74No_murmur_23625_TV.wav
No_murmur_24160_AV.wav > 8No_murmur_24160_AV.wav
No_murmur_24160_MV.wav > 67No_murmur_24160_MV.wav
No_murmur_24160_PV.wav > 22No_murmur_24160_PV.wav
No_murmur_24160_TV.wav > 49No_murmur_24160_TV.wav
No_murmur_2530_AV.wav > 21No_murmur_2530_AV.wav
No_murmur_2530_MV.wav > 23No_murmur_2530_MV.wav
No_murmur_2530_PV.wav > 0No_murmur_2530_PV.wav
No_murmur_2530_TV.wav > 4No_murmur_2530_TV.wav
No_murmur_31737_AV.wav > 17No_murmur_31737_AV.wav
No_murmur_31737_MV.wav > 24No_murmur_31737_MV.wav
No_murmur_31737_PV.wav > 48No_murmur_31737_PV.wav
No_murmur_31737_TV.wav > 66No_murmur_31737_TV.wav
Systolic_murmur_abnormal_13918_AV.wav > 36Systolic_murmur_abnormal_13918_AV.wav
Systolic_murmur_abnormal_13918_MV.wav > 35Systolic_murmur_abnormal_13918_MV.wav
Systolic_murmur_abnormal_13918_PV.wav > 38Systolic_murmur_abnormal_13918_PV.wav
Systolic_murmur_abnormal_13918_TV.wav > 34Systolic_murmur_abnormal_13918_TV.wav
Systolic_murmur_abnormal_14241_AV.wav > 14Systolic_murmur_abnormal_14241_AV.wav
Systolic_murmur_abnormal_14241_MV.wav > 37Systolic_murmur_abnormal_14241_MV.wav
Systolic_murmur_abnormal_14241_PV.wav > 10Systolic_murmur_abnormal_14241_PV.wav
Systolic_murmur_abnormal_14241_TV.wav > 51Systolic_murmur_abnormal_14241_TV.wav
Systolic_murmur_abnormal_29045_AV.wav > 45Systolic_murmur_abnormal_29045_AV.wav
Systolic_murmur_abnormal_29045_MV.wav > 18Systolic_murmur_abnormal_29045_MV.wav
Systolic_murmur_abnormal_29045_PV.wav > 73Systolic_murmur_abnormal_29045_PV.wav
Systolic_murmur_abnormal_29045_TV.wav > 31Systolic_murmur_abnormal_29045_TV.wav
Systolic_murmur_abnormal_33151_AV.wav > 6Systolic_murmur_abnormal_33151_AV.wav
Systolic_murmur_abnormal_33151_MV.wav > 28Systolic_murmur_abnormal_33151_MV.wav
Systolic_murmur_abnormal_33151_PV.wav > 7Systolic_murmur_abnormal_33151_PV.wav
Systolic_murmur_abnormal_33151_TV.wav > 12Systolic_murmur_abnormal_33151_TV.wav
Systolic_murmur_abnormal_36327_AV.wav > 65Systolic_murmur_abnormal_36327_AV.wav
Systolic_murmur_abnormal_36327_MV.wav > 5Systolic_murmur_abnormal_36327_MV.wav
Systolic_murmur_abnormal_36327_PV.wav > 52Systolic_murmur_abnormal_36327_PV.wav
Systolic_murmur_abnormal_36327_TV.wav > 33Systolic_murmur_abnormal_36327_TV.wav
Systolic_murmur_normal_49572_MV.wav > 11Systolic_murmur_normal_49572_MV.wav
Systolic_murmur_normal_49572_PV.wav > 19Systolic_murmur_normal_49572_PV.wav
Systolic_murmur_normal_49572_TV.wav > 69Systolic_murmur_normal_49572_TV.wav
Systolic_murmur_normal_49897_AV.wav > 44Systolic_murmur_normal_49897_AV.wav
Systolic_murmur_normal_49897_MV.wav > 40Systolic_murmur_normal_49897_MV.wav
Systolic_murmur_normal_49897_PV.wav > 15Systolic_murmur_normal_49897_PV.wav
Systolic_murmur_normal_49897_TV.wav > 42Systolic_murmur_normal_49897_TV.wav
Systolic_murmur_normal_49931_AV.wav > 50Systolic_murmur_normal_49931_AV.wav
Systolic_murmur_normal_49931_PV.wav > 29Systolic_murmur_normal_49931_PV.wav
Systolic_murmur_normal_49931_TV.wav > 39Systolic_murmur_normal_49931_TV.wav
Systolic_murmur_normal_50099_MV.wav > 3Systolic_murmur_normal_50099_MV.wav
Systolic_murmur_normal_50099_PV.wav > 1Systolic_murmur_normal_50099_PV.wav
Systolic_murmur_normal_50099_TV.wav > 47Systolic_murmur_normal_50099_TV.wav
Systolic_murmur_normal_50118_MV.wav > 56Systolic_murmur_normal_50118_MV.wav
Systolic_murmur_normal_50118_PV.wav > 75Systolic_murmur_normal_50118_PV.wav
Systolic_murmur_normal_50118_TV.wav > 57Systolic_murmur_normal_50118_TV.wav
Systolic_murmur_normal_50129_AV.wav > 46Systolic_murmur_normal_50129_AV.wav
Systolic_murmur_normal_50129_MV.wav > 71Systolic_murmur_normal_50129_MV.wav
Systolic_murmur_normal_50129_PV.wav > 25Systolic_murmur_normal_50129_PV.wav
Systolic_murmur_normal_50129_TV.wav > 70Systolic_murmur_normal_50129_TV.wav
